tick,time_s,status,ran_steps,cum_steps,reload,mark_reload,temp_K,density_m3,n_ratio,pressure_Pa,shield_hits,shield_reemit
42,2520,1,2500,102500,0,0,0,0,0,0,0,0
43,2580,1,2500,105000,0,0,0,0,0,0,0,0
44,2640,1,2500,107500,0,0,0,0,0,0,0,0
45,2700,1,2500,110000,0,0,0,0,0,0,0,0
46,2760,1,2500,112500,0,0,0,0,0,0,0,0
47,2820,1,2500,115000,0,0,0,0,0,0,0,0
48,2880,1,2500,117500,0,0,0,0,0,0,0,0
49,2940,1,2500,120000,0,0,0,0,0,0,0,0
50,3000,1,2500,122500,0,0,0,0,0,0,0,0
51,3060,1,2500,125000,0,0,0,0,0,0,0,0
52,3120,1,2500,127500,0,0,0,0,0,0,0,0
53,3180,1,2500,130000,0,0,0,0,0,0,0,0
54,3240,1,2500,132500,0,0,0,0,0,0,0,0
55,3300,1,2500,135000,0,0,0,0,0,0,0,0
56,3360,1,2500,137500,0,0,0,0,0,0,0,0
57,3420,1,2500,140000,0,0,0,0,0,0,0,0
58,3480,1,2500,142500,0,0,0,0,0,0,0,0
59,3540,1,2500,145000,0,0,0,0,0,0,0,0
60,3600,1,2500,147500,0,0,0,0,0,0,0,0
61,3660,1,2500,150000,0,0,0,0,0,0,0,0
62,3720,1,2500,152500,0,0,0,0,0,0,0,0
63,3780,1,2500,155000,0,0,0,0,0,0,0,0
64,3840,1,2500,157500,0,0,0,0,0,0,0,0
65,3900,1,2500,160000,0,0,0,0,0,0,0,0
66,3960,1,2500,162500,0,0,0,0,0,0,0,0
67,4020,1,2500,165000,0,0,0,0,0,0,0,0
68,4080,1,2500,167500,0,0,0,0,0,0,0,0
69,4140,1,2500,170000,0,0,0,0,0,0,0,0
70,4200,1,2500,172500,0,0,0,0,0,0,0,0
71,4260,1,2500,175000,0,0,0,0,0,0,0,0
72,4320,1,2500,177500,0,0,0,0,0,0,0,0
73,4380,1,2500,180000,0,0,0,0,0,0,0,0
74,4440,1,2500,182500,0,0,0,0,0,0,0,0
75,4500,1,2500,185000,0,0,0,0,0,0,0,0
76,4560,1,2500,187500,0,0,0,0,0,0,0,0
77,4620,1,2500,190000,0,0,0,0,0,0,0,0
78,4680,1,2500,192500,0,0,0,0,0,0,0,0
79,4740,1,2500,195000,0,0,0,0,0,0,0,0
80,4800,1,2500,197500,0,0,0,0,0,0,0,0
81,4860,1,2500,200000,0,0,0,0,0,0,0,0
82,4920,1,2500,202500,0,0,0,0,0,0,0,0
83,4980,1,2500,205000,0,0,0,0,0,0,0,0
84,5040,1,2500,207500,0,0,0,0,0,0,0,0
85,5100,1,2500,210000,0,0,0,0,0,0,0,0
86,5160,1,2500,212500,0,0,0,0,0,0,0,0
87,5220,1,2500,215000,0,0,0,0,0,0,0,0
88,5280,1,2500,217500,0,0,0,0,0,0,0,0
89,5340,1,2500,220000,0,0,0,0,0,0,0,0
90,5400,1,2500,222500,0,0,0,0,0,0,0,0
91,5460,1,2500,225000,0,0,0,0,0,0,0,0
92,5520,1,2500,227500,0,0,0,0,0,0,0,0
93,5580,1,2500,230000,0,0,0,0,0,0,0,0
94,5640,1,2500,232500,0,0,0,0,0,0,0,0
95,5700,1,2500,235000,0,0,0,0,0,0,0,0
96,5760,1,2500,237500,0,0,0,0,0,0,0,0
97,5820,1,2500,240000,0,0,0,0,0,0,0,0
98,5880,1,2500,242500,0,0,0,0,0,0,0,0
99,5940,1,2500,245000,0,0,0,0,0,0,0,0
100,6000,1,2500,247500,0,0,0,0,0,0,0,0
101,6060,1,2500,250000,0,0,0,0,0,0,0,0
102,6120,1,2500,252500,0,0,0,0,0,0,0,0
103,6180,1,2500,255000,0,0,0,0,0,0,0,0
104,6240,1,2500,257500,0,0,0,0,0,0,0,0
105,6300,1,2500,260000,0,0,0,0,0,0,0,0
106,6360,1,2500,262500,0,0,0,0,0,0,0,0
107,6420,1,2500,265000,0,0,0,0,0,0,0,0
108,6480,1,2500,267500,0,0,0,0,0,0,0,0
109,6540,1,2500,270000,0,0,0,0,0,0,0,0
110,6600,1,2500,272500,0,0,0,0,0,0,0,0
111,6660,1,2500,275000,0,0,0,0,0,0,0,0
112,6720,1,2500,277500,0,0,0,0,0,0,0,0
