tick,time_s,status,available_added,requested,granted,remaining
138,8280,1,0,0,0,0
139,8340,1,0,0,0,0
140,8400,1,0,0,0,0
141,8460,1,0,0,0,0
142,8520,1,0,0,0,0
143,8580,1,0,0,0,0
144,8640,1,0,0,0,0
145,8700,1,0,0,0,0
146,8760,1,0,0,0,0
147,8820,1,0,0,0,0
148,8880,1,0,0,0,0
149,8940,1,0,0,0,0
150,9000,1,0,0,0,0
151,9060,1,0,0,0,0
152,9120,1,0,0,0,0
153,9180,1,0,0,0,0
154,9240,1,0,0,0,0
155,9300,1,0,0,0,0
156,9360,1,0,0,0,0
157,9420,1,0,0,0,0
158,9480,1,0,0,0,0
159,9540,1,0,0,0,0
160,9600,1,0,0,0,0
161,9660,1,0,0,0,0
162,9720,1,0,0,0,0
163,9780,1,0,0,0,0
164,9840,1,0,0,0,0
165,9900,1,878.454,0,0,878.454
166,9960,1,935.136,0,0,935.136
167,10020,1,991.438,0,0,991.438
168,10080,1,1047.11,0,0,1047.11
169,10140,1,1101.9,0,0,1101.9
170,10200,1,1155.56,0,0,1155.56
171,10260,1,1207.87,0,0,1207.87
172,10320,1,1258.57,0,0,1258.57
173,10380,1,1307.45,0,0,1307.45
174,10440,1,1354.28,0,0,1354.28
175,10500,1,1398.87,0,0,1398.87
176,10560,1,1441,0,0,1441
177,10620,1,1480.49,0,0,1480.49
178,10680,1,1517.17,0,0,1517.17
179,10740,1,1550.87,0,0,1550.87
180,10800,1,1581.43,0,0,1581.43
181,10860,1,1608.74,0,0,1608.74
182,10920,1,1632.65,0,0,1632.65
183,10980,1,1653.07,0,0,1653.07
184,11040,1,1669.9,0,0,1669.9
185,11100,1,1683.07,0,0,1683.07
186,11160,1,1692.52,0,0,1692.52
187,11220,1,1698.2,0,0,1698.2
188,11280,1,1700.1,0,0,1700.1
189,11340,1,1698.2,0,0,1698.2
190,11400,1,1692.52,0,0,1692.52
191,11460,1,1683.07,0,0,1683.07
192,11520,1,1669.9,0,0,1669.9
193,11580,1,1653.07,0,0,1653.07
194,11640,1,1632.65,0,0,1632.65
195,11700,1,1608.74,1320,1320,288.736
196,11760,1,1581.43,1325,1325,261.434
197,11820,1,1550.87,1325,1325,230.867
198,11880,1,1517.17,1325,1325,197.169
199,11940,1,1480.49,1325,1325,160.491
200,12000,1,1441,1325,1325,120.998
201,12060,1,1398.87,1325,1325,78.866
202,12120,1,1354.28,1325,1325,34.2824
